Consonant,Place,Manner,Voicing,Aspiration
hm,labial,nasal,false,false
m,labial,nasal,true,false
hn,alveolar,nasal,false,false
n,alveolar,nasal,true,false
hń,velar,nasal,false,false
ń,velar,nasal,true,false
p,labial,stop,false,false
ph,labial,stop,false,true
b,labial,stop,true,false
t,alveolar,stop,false,false
th,alveolar,stop,false,true
d,alveolar,stop,true,false
c,alveolar,affricate,false,false
ch,alveolar,affricate,false,true
ż,alveolar,affricate,true,false
ć,palatal,affricate,false,false
ćh,palatal,affricate,false,true
j,palatal,affricate,true,false
k,velar,stop,false,false
kh,velar,stop,false,true
g,velar,stop,true,false
?,glottal,stop,false,false
f,labial,fricative,false,false
v,labial,fricative,true,false
ţ,dental,fricative,false,false
ď,dental,fricative,true,false
s,alveolar,fricative,false,false
z,alveolar,fricative,true,false
ś,palatal,fricative,false,false
ź,palatal,fricative,true,false
h,glottal,approximant,false,false
hw,labial,approximant,false,false
w,labial,approximant,true,false
y,palatal,approximant,true,false
hy,palatal,approximant,false,false
hŕ,velar,approximant,false,false
ŕ,velar,approximant,true,false
hr,alveolar,trill,false,false
r,alveolar,trill,true,false
hl,alveolar,lateral,false,false
l,alveolar,lateral,true,false
